sentence1,sentence2,匹配度,是否匹配,真实标签
找一部小时候的动画片,求一部小时候的动画片。谢了,0.9817,1,1
我不可能是一个有鉴赏能力的行家，小姐我把我的时间都花在书写上；象这样豪华的舞会，我还是头一次见到。,蜡烛没熄就好了，夜黑得瘆人，情绪压抑。,0.0,0,0
胡子长得太快怎么办？,胡子长得快怎么办？,0.977,1,1
有时，当空气所含的水蒸气已经饱和，拉托娜的女儿的光线被它留住而形成一个光环时，我们看到她就像这样被这个光环围绕着。,木栅在波涛的冲击下猛烈地震动着。,0.1576,0,0
人家真要以为他们生平只看见过他这一个黑人呢。,而且，当然，如果只有流血对他们才有帮助，他们是不会望而却步，停止流血的有的时候他们屠杀的全然是无辜的人，为保卫古老的法律而英勇牺牲了。,0.1668,0,0
在香港哪里买手表好,香港买手表哪里好,0.9843,1,1
显然，她急于要向他说这么一句话。,她像石像似的坐在那里，面色错黄、苍白，嘴唇紧抿着——什么都不吃。,0.0426,0,0
邓蒂斯仔细看了一番，然后又四面瞧来瞧去，寻找那件把它修削成这样整齐的形式的工具。,三天以后，四个火枪手回到巴黎。,0.0511,0,0
别急呀，我的朋友。,你一定要看我一下。,0.0125,0,0
全职妈妈在家怎么赚钱？,全职妈妈在家上网做什么工作赚钱,0.9785,1,1
她是一个非常慷慨的女人，拥有自己的一大笔财产。,她有很多钱，但她是个慷慨的女人。,0.6854,1,1
嗯，我们注意到的另一件事，呃，随着时间的推移，呃，我们真的不知道我们到底要做什么，我们想公开地做什么，但是，呃，教导，呃，所教的思想，呃，并不总是与我们从道德的角度或者从如何处理给定的情况的角度来告诉,我们同意学校所教的一切。,0.1813,0,0
因此，“条例”要求高级行政人员的业绩计划和评估包含对雇员的业绩期望。,高级管理人员的绩效计划允许员工在工作场所饮酒。,0.1292,0,0
一个从酒吧里倒过来的小男孩。,一个小男孩正在爬篱笆。,0.0654,0,0
明天多少度啊,明天气温多少度啊,0.9538,1,1
人类的机关不可能十全十美。,胡赛太太飞快地冲了出来，一手拿着芥末罐，一手拿着醋瓶子。,0.0,0,0
咳，您昨天可把我们害苦了，来人中的一个说，闹了整整一夜，不让人睡觉。,哦，你昨天真把我们弄苦了，进来的两个人中间的一个说，你害得我们整整一夜没有睡。,0.9761,1,1
什么是思路清晰,学什么让自己思路清晰？,0.0,0,0
